0.000000
1.000000	0.992087	0.000059
1.040000	0.992197	0.000065
1.080000	0.997961	0.000006
1.120000	0.998406	0.000009
1.160000	0.997918	0.000008
1.200000	0.989224	0.000330
1.240000	0.661007	0.000652
1.280000	0.513441	0.000772
1.320000	0.367562	0.000670
1.360000	0.307719	0.000803
1.400000	0.270120	0.000499
1.440000	0.191205	0.000464
1.480000	0.133188	0.000327
1.520000	0.132961	0.000548
1.560000	0.055645	0.000276
1.600000	0.006394	0.000055
1.640000	0.009223	0.000060
1.680000	0.003705	0.000037
1.720000	0.000500	0.000000
1.760000	0.003665	0.000035
1.800000	0.004837	0.000051
1.840000	0.012143	0.000073
1.880000	0.001500	0.000000
1.920000	0.005269	0.000020
1.960000	0.008002	0.000072
2.000000	0.001500	0.000000
2.040000	0.000000	0.000000
2.080000	0.001500	0.000000
2.120000	0.001500	0.000000
2.160000	0.000500	0.000000
2.200000	0.001000	0.000000
2.240000	0.001500	0.000000
2.280000	0.000000	0.000000
2.320000	0.001500	0.000000
2.360000	0.001500	0.000000
2.400000	0.001000	0.000000
2.440000	0.000500	0.000000
2.480000	0.000000	0.000000
2.520000	0.001500	0.000000
2.560000	0.000500	0.000000
2.600000	0.001000	0.000000
2.640000	0.001000	0.000000
2.680000	0.000500	0.000000
2.720000	0.000000	0.000000
2.760000	0.002000	0.000000
2.800000	0.001000	0.000000
2.840000	0.000500	0.000000
2.880000	0.000500	0.000000
2.920000	0.001000	0.000000
2.960000	0.001500	0.000000

0.001000
1.000000	0.992089	0.000085
1.040000	0.984553	0.000123
1.080000	0.991587	0.000070
1.120000	0.992713	0.000054
1.160000	0.930939	0.000336
1.200000	0.750919	0.000683
1.240000	0.548999	0.001140
1.280000	0.462130	0.000935
1.320000	0.378026	0.000792
1.360000	0.314141	0.000492
1.400000	0.266481	0.000728
1.440000	0.239330	0.000452
1.480000	0.210490	0.000501
1.520000	0.178214	0.000514
1.560000	0.155535	0.000525
1.600000	0.146769	0.000426
1.640000	0.128717	0.000450
1.680000	0.099589	0.000240
1.720000	0.090554	0.000243
1.760000	0.065028	0.000205
1.800000	0.048939	0.000244
1.840000	0.038118	0.000138
1.880000	0.000500	0.000000
1.920000	0.000500	0.000000
1.960000	0.000500	0.000000
2.000000	0.010722	0.000085
2.040000	0.001638	0.000010
2.080000	0.000500	0.000000
2.120000	0.000500	0.000000
2.160000	0.000500	0.000000
2.200000	0.000000	0.000000
2.240000	0.001000	0.000000
2.280000	0.001000	0.000000
2.320000	0.000000	0.000000
2.360000	0.000000	0.000000
2.400000	0.001000	0.000000
2.440000	0.001000	0.000000
2.480000	0.001000	0.000000
