P12	pc	max_slope	left_p11	right_p11	left_dist	right_dist	mean_trelax_norm	mean_sat_frac	n_points
0.16	0.675	0.387774451842	0.65	0.7	0.29628435595	0.276895633358	0.314166666667	0.0884773662551	5
0.2	0.7275	17.4573113422	0.725	0.73	0.486691151121	0.39940459441	0.248725308642	0.0584362139918	23
0.21	0.765	11.4572376777	0.76	0.77	0.50013913722	0.385566760444	0.243909465021	0.0555555555556	7
0.22	0.805	14.2296954111	0.8	0.81	0.477559819472	0.335262865361	0.277757201646	0.0740740740741	8
0.23	0.845	13.961752483	0.84	0.85	0.464880294348	0.325262769518	0.270720164609	0.0905349794239	9
0.24	0.89	9.79931226275	0.88	0.9	0.488899376197	0.292913130942	0.274012345679	0.0781893004115	8
