p11	P12	B	R	Epay	N1	N2	ndiv	reps	TMAX	xE	yE	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	x1_mean	x2_mean	samples	source
0.715	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.531943302607	0.00915722608023	0.100843621399	0.00574782394898	0	0.472817053498	0.281736864198	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p715__P12_0p20__P22_0p715__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.72	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.51551933323	0.0104069942066	0.145925925926	0.0104053206583	0.0082304526749	0.481960699588	0.270038839506	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p720__P12_0p20__P22_0p720__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.725	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.486691151121	0.0122873999715	0.198580246914	0.0137348576531	0.0082304526749	0.475891506173	0.274826246914	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p725__P12_0p20__P22_0p725__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.73	0.2	1.15	0	-0.4	500	500	8	10	400000	0.308	0.308	0.39940459441	0.00878036231427	0.29887037037	0.0118137013198	0.108641975309	0.433267753086	0.316299849383	810	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\statistics\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_10.txt
0.735	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.353200006628	0.0171854583226	0.298436213992	0.0217379728747	0.0946502057613	0.412715893004	0.335901300412	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p735__P12_0p20__P22_0p735__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.74	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.330091807513	0.0177570788908	0.356790123457	0.0244332404327	0.168724279835	0.394214502058	0.352815506173	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p740__P12_0p20__P22_0p740__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.745	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.314210843184	0.0178943866582	0.341995884774	0.0236828505547	0.164609053498	0.392621975309	0.353106987654	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p745__P12_0p20__P22_0p745__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.76	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.296210332363	0.0183490933886	0.357345679012	0.0241955611027	0.148148148148	0.382651283951	0.356946222222	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p20__P22_0p76__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.8	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.27314241798	0.0189705736742	0.29475308642	0.0220601046987	0.111111111111	0.371794823045	0.350286452675	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p80__P12_0p20__P22_0p80__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.85	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.254206511698	0.0194878374809	0.0479218106996	0.00135832933131	0	0.355018584362	0.347044748971	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p85__P12_0p20__P22_0p85__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.9	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.245492493724	0.0196528597188	0.0464197530864	0.00138450600269	0	0.346425687243	0.338965366255	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p90__P12_0p20__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
