p11	P12	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	reps	TMAX	samples	source
0.5	0.2	0.72050542486	0.00364504476283	0.038950617284	0.00131592817535	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p50__P12_0p20__P22_0p50__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.55	0.2	0.695945207995	0.00416420946961	0.0434362139918	0.0013475214488	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p55__P12_0p20__P22_0p55__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.6	0.2	0.633182220598	0.00505411362894	0.0434465020576	0.00135194076964	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p60__P12_0p20__P22_0p60__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.65	0.2	0.589288709473	0.00627897828197	0.0744238683128	0.00489042491516	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.7	0.2	0.553685728428	0.00741976491578	0.075658436214	0.00404533505964	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p20__P22_0p70__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.715	0.2	0.531943302607	0.00915722608023	0.100843621399	0.00574782394898	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p715__P12_0p20__P22_0p715__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.72	0.2	0.51551933323	0.0104069942066	0.145925925926	0.0104053206583	0.0082304526749	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p720__P12_0p20__P22_0p720__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.725	0.2	0.486691151121	0.0122873999715	0.198580246914	0.0137348576531	0.0082304526749	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p725__P12_0p20__P22_0p725__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.73	0.2	0.39940459441	0.00878036231427	0.29887037037	0.0118137013198	0.108641975309	10	400000	810	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\statistics\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_10.txt
0.735	0.2	0.353200006628	0.0171854583226	0.298436213992	0.0217379728747	0.0946502057613	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-07_relaxation_critical_p_narrow_TMAX400k\raw\initial_plane__N1_500__N2_500__P11_0p735__P12_0p20__P22_0p735__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
