index	N1	N2	P11	P12	P22	B	R	E	update_rule	fermi_beta	ndiv	reps	output	plot
1	700	700	0.9	0.05	0.9	1.02	0	-0.4	1	5	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_700__N2_700__P11_0p9__P12_0p05__P22_0p9__B_1p02__R_0__E_m0p4__TMAX_25000__rule_fermi__beta_5__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_700__N2_700__P11_0p9__P12_0p05__P22_0p9__B_1p02__R_0__E_m0p4__TMAX_25000__rule_fermi__beta_5__ndiv_8__reps_3.png
2	800	300	0.9	0.02	0.9	1.06	0	-0.4	1	5	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_800__N2_300__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__TMAX_25000__rule_fermi__beta_5__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_800__N2_300__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__TMAX_25000__rule_fermi__beta_5__ndiv_8__reps_3.png
