# N1 1000
# N2 100
# T_MCS 1000
# T_MAX 50000
# W 2000
# NDIV 401
# P11 0.00600600600601
# P12 0.002
# P22 0.0606060606061
# k11 6
# k22 6
# R 0
# E -0.4
# UPDATE_RULE 1
# FERMI_BETA 5
# x01 0.5
# x02 0
# reps 200
# seed 520002
# independence graph_per_b_rep
# b x1_mean x1_sem x2_mean x2_sem c_mean c_sem
1	0.998725	7.2962267288e-05	0	0	0.4993625	3.6481133644e-05
1.0075	0.99875	7.59363657621e-05	0	0	0.499375	3.79681828811e-05
1.015	0.998525	8.59290053067e-05	0	0	0.4992625	4.29645026533e-05
1.0225	0.99876	8.30450624874e-05	0	0	0.49938	4.15225312437e-05
1.03	0.998715	8.24796304127e-05	0	0	0.4993575	4.12398152064e-05
1.0375	0.998845	7.60512587188e-05	0	0	0.4994225	3.80256293594e-05
1.045	0.95874	0.0138605170054	0	0	0.47937	0.00693025850272
1.0525	0.743490845	0.0307905172273	0	0	0.3717454225	0.0153952586137
1.06	0.18716344	0.0274407945273	0	0	0.09358172	0.0137203972637
1.0675	0.0276887	0.0111383640595	0	0	0.01384435	0.00556918202973
1.075	0.001245	7.5852773292e-05	0	0	0.0006225	3.7926386646e-05
1.0825	0.00127	8.10453065177e-05	0	0	0.000635	4.05226532588e-05
1.09	0.001295	7.85539855336e-05	0	0	0.0006475	3.92769927668e-05
1.0975	0.001225	7.55008402895e-05	0	0	0.0006125	3.77504201448e-05
1.105	0.001285	8.30866533193e-05	0	0	0.0006425	4.15433266596e-05
1.1125	0.0012	7.46852692787e-05	0	0	0.0006	3.73426346394e-05
1.12	0.001065	6.87569092006e-05	0	0	0.0005325	3.43784546003e-05
1.1275	0.00115	7.69225937364e-05	0	0	0.000575	3.84612968682e-05
1.135	0.001235	8.0506406e-05	0	0	0.0006175	4.0253203e-05
1.1425	0.00119	7.51514383992e-05	0	0	0.000595	3.75757191996e-05
1.15	0.001155	7.63809218727e-05	0	0	0.0005775	3.81904609364e-05
1.1575	0.00121	7.55515731207e-05	0	0	0.000605	3.77757865603e-05
1.165	0.00118	8.19854135819e-05	0	0	0.00059	4.0992706791e-05
1.1725	0.00125	8.10577063504e-05	0	0	0.000625	4.05288531752e-05
1.18	0.00128	7.77057974335e-05	0	0	0.00064	3.88528987167e-05
1.1875	0.00136	9.02369855871e-05	0	0	0.00068	4.51184927935e-05
1.195	0.001155	7.8649882518e-05	0	0	0.0005775	3.9324941259e-05
1.2025	0.001145	7.20822743215e-05	0	0	0.0005725	3.60411371607e-05
1.21	0.001145	7.48188767732e-05	0	0	0.0005725	3.74094383866e-05
1.2175	0.001265	7.97223511089e-05	0	0	0.0006325	3.98611755545e-05
1.225	0.001265	8.66685188566e-05	0	0	0.0006325	4.33342594283e-05
1.2325	0.001305	7.77179218513e-05	0	0	0.0006525	3.88589609256e-05
1.24	0.00132	8.35036784915e-05	0	0	0.00066	4.17518392457e-05
1.2475	0.001275	7.98671950442e-05	0	0	0.0006375	3.99335975221e-05
1.255	0.00123	7.42500190346e-05	0	0	0.000615	3.71250095173e-05
1.2625	0.001135	7.32166537883e-05	0	0	0.0005675	3.66083268942e-05
1.27	0.001335	8.86179479762e-05	0	0	0.0006675	4.43089739881e-05
1.2775	0.001225	7.10430190291e-05	0	0	0.0006125	3.55215095145e-05
1.285	0.0012	8.59472784524e-05	0	0	0.0006	4.29736392262e-05
1.2925	0.001145	7.81049094771e-05	0	0	0.0005725	3.90524547385e-05
1.3	0.00124	8.05882892349e-05	0	0	0.00062	4.02941446175e-05
1.3075	0.001265	7.78083911197e-05	0	0	0.0006325	3.89041955599e-05
1.315	0.0012	8.11351623704e-05	0	0	0.0006	4.05675811852e-05
1.3225	0.00116	7.97105315766e-05	0	0	0.00058	3.98552657883e-05
1.33	0.001195	7.82013571577e-05	0	0	0.0005975	3.91006785789e-05
1.3375	0.00125	7.62665255179e-05	0	0	0.000625	3.8133262759e-05
1.345	0.001225	7.97097435454e-05	0	0	0.0006125	3.98548717727e-05
1.3525	0.00121	8.2544338626e-05	0	0	0.000605	4.1272169313e-05
1.36	0.001185	7.43742742036e-05	0	0	0.0005925	3.71871371018e-05
1.3675	0.001165	7.32509625711e-05	0	0	0.0005825	3.66254812855e-05
1.375	0.00119	7.77801307772e-05	0	0	0.000595	3.88900653886e-05
1.3825	0.00128	8.08746160275e-05	0	0	0.00064	4.04373080137e-05
1.39	0.00117	8.23981021394e-05	0	0	0.000585	4.11990510697e-05
1.3975	0.001355	8.3545040962e-05	0	0	0.0006775	4.1772520481e-05
1.405	0.001185	7.26655102639e-05	0	0	0.0005925	3.63327551319e-05
1.4125	0.001285	7.71272849934e-05	0	0	0.0006425	3.85636424967e-05
1.42	0.0012	7.29837870066e-05	0	0	0.0006	3.64918935033e-05
1.4275	0.0012	8.20589321263e-05	0	0	0.0006	4.10294660631e-05
1.435	0.001345	7.68727657272e-05	0	0	0.0006725	3.84363828636e-05
1.4425	0.001425	8.72348819172e-05	0	0	0.0007125	4.36174409586e-05
1.45	0.00113	7.64507921351e-05	0	0	0.000565	3.82253960676e-05
1.4575	0.0012	8.05134278261e-05	0	0	0.0006	4.0256713913e-05
1.465	0.001245	8.43233486982e-05	0	0	0.0006225	4.21616743491e-05
1.4725	0.00115	7.65952620653e-05	0	0	0.000575	3.82976310327e-05
1.48	0.00122	7.33820456455e-05	0	0	0.00061	3.66910228227e-05
1.4875	0.001215	8.07868029921e-05	0	0	0.0006075	4.03934014961e-05
1.495	0.0013	8.02007531387e-05	0	0	0.00065	4.01003765694e-05
1.5025	0.001225	7.81177760479e-05	0	0	0.0006125	3.9058888024e-05
1.51	0.001185	7.53809421018e-05	0	0	0.0005925	3.76904710509e-05
1.5175	0.00127	9.09773841244e-05	0	0	0.000635	4.54886920622e-05
1.525	0.00124	8.02759061333e-05	0	0	0.00062	4.01379530667e-05
1.5325	0.00103	6.64649376717e-05	0	0	0.000515	3.32324688358e-05
1.54	0.001195	8.31833658961e-05	0	0	0.0005975	4.15916829481e-05
1.5475	0.001225	7.71468286181e-05	0	0	0.0006125	3.8573414309e-05
1.555	0.00124	7.54350864075e-05	0	0	0.00062	3.77175432037e-05
1.5625	0.001185	7.7029492492e-05	0	0	0.0005925	3.8514746246e-05
1.57	0.00134	7.84395551944e-05	0	0	0.00067	3.92197775972e-05
1.5775	0.001075	6.79703970444e-05	0	0	0.0005375	3.39851985222e-05
1.585	0.001295	8.0137287979e-05	0	0	0.0006475	4.00686439895e-05
1.5925	0.00123	8.43866430642e-05	0	0	0.000615	4.21933215321e-05
1.6	0.00126	7.86953926486e-05	0	0	0.00063	3.93476963243e-05
1.6075	0.001205	8.02939010932e-05	0	0	0.0006025	4.01469505466e-05
1.615	0.001315	8.55304171702e-05	0	0	0.0006575	4.27652085851e-05
1.6225	0.001275	7.92355118092e-05	0	0	0.0006375	3.96177559046e-05
1.63	0.00131	7.8423537642e-05	0	0	0.000655	3.9211768821e-05
1.6375	0.00121	7.62137960842e-05	0	0	0.000605	3.81068980421e-05
1.645	0.001435	8.55304171702e-05	0	0	0.0007175	4.27652085851e-05
1.6525	0.00121	8.75661989353e-05	0	0	0.000605	4.37830994677e-05
1.66	0.001375	8.60750811675e-05	0	0	0.0006875	4.30375405837e-05
1.6675	0.001205	8.24552566349e-05	0	0	0.0006025	4.12276283175e-05
1.675	0.001375	8.43054687449e-05	0	0	0.0006875	4.21527343725e-05
1.6825	0.00139	8.16876020067e-05	0	0	0.000695	4.08438010034e-05
1.69	0.00131	7.74564231516e-05	0	0	0.000655	3.87282115758e-05
1.6975	0.00112	7.14389080819e-05	0	0	0.00056	3.5719454041e-05
1.705	0.00113	7.44527775197e-05	0	0	0.000565	3.72263887599e-05
1.7125	0.001165	7.29071482182e-05	0	0	0.0005825	3.64535741091e-05
1.72	0.001245	8.60925936034e-05	0	0	0.0006225	4.30462968017e-05
1.7275	0.001235	7.89305082058e-05	0	0	0.0006175	3.94652541029e-05
1.735	0.00131	8.03228410477e-05	0	0	0.000655	4.01614205238e-05
1.7425	0.00132	8.9319031831e-05	0	0	0.00066	4.46595159155e-05
1.75	0.00119	7.34607542301e-05	0	0	0.000595	3.67303771151e-05
1.7575	0.001125	7.15715546651e-05	0	0	0.0005625	3.57857773326e-05
1.765	0.00132	7.82214354562e-05	0	0	0.00066	3.91107177281e-05
1.7725	0.00121	7.68703143361e-05	0	0	0.000605	3.8435157168e-05
1.78	0.00109	7.44122700208e-05	0	0	0.000545	3.72061350104e-05
