0.000000
1.000000	0.993060	0.000096
1.040000	0.994050	0.000107
1.080000	0.997910	0.000019
1.120000	0.995505	0.000103
1.160000	0.980855	0.000207
1.200000	0.982025	0.000285
1.240000	0.653805	0.001172
1.280000	0.450450	0.000805
1.320000	0.408480	0.000787
1.360000	0.295430	0.001070
1.400000	0.218300	0.000577
1.440000	0.196400	0.000715
1.480000	0.146045	0.000536
1.520000	0.096960	0.000660
1.560000	0.092940	0.000486
1.600000	0.017515	0.000167
1.640000	0.020190	0.000173
1.680000	0.004965	0.000118
1.720000	0.001000	0.000000
1.760000	0.000500	0.000000
1.800000	0.010255	0.000073
1.840000	0.004825	0.000082
1.880000	0.002000	0.000000
1.920000	0.005595	0.000047
1.960000	0.003560	0.000016
2.000000	0.001500	0.000000
2.040000	0.001000	0.000000
2.080000	0.001000	0.000000
2.120000	0.002000	0.000000
2.160000	0.001000	0.000000
2.200000	0.001000	0.000000
2.240000	0.001500	0.000000
2.280000	0.001500	0.000000
2.320000	0.001500	0.000000
2.360000	0.000500	0.000000
2.400000	0.002000	0.000000
2.440000	0.002000	0.000000
2.480000	0.001000	0.000000
2.520000	0.001000	0.000000
2.560000	0.002000	0.000000
2.600000	0.001500	0.000000
2.640000	0.001500	0.000000
2.680000	0.001000	0.000000
2.720000	0.000000	0.000000
2.760000	0.001500	0.000000
2.800000	0.001500	0.000000
2.840000	0.001500	0.000000
2.880000	0.001500	0.000000
2.920000	0.002000	0.000000
2.960000	0.001000	0.000000

0.001000
1.000000	0.979065	0.000191
1.040000	0.994930	0.000100
1.080000	0.994405	0.000089
1.120000	0.985245	0.000288
1.160000	0.905900	0.000447
1.200000	0.744995	0.001181
1.240000	0.571525	0.001250
1.280000	0.430835	0.000779
1.320000	0.361370	0.000842
1.360000	0.294940	0.000879
1.400000	0.268295	0.000427
1.440000	0.205800	0.000838
1.480000	0.173895	0.000646
1.520000	0.169250	0.000682
1.560000	0.127695	0.001073
1.600000	0.118835	0.000439
1.640000	0.103875	0.000462
1.680000	0.100420	0.000539
1.720000	0.061035	0.000397
1.760000	0.067735	0.000336
1.800000	0.057675	0.000422
