index	family	exe	p12	x01	x02	bmin	bmax	reps	seed	output	log
1	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0	0.5	0	1	4	200	520000	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0.log
2	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0.001	0.5	0	1	4	200	520001	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0p001.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0p001.log
3	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0.002	0.5	0	1	4	200	520002	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0p002.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0p002.log
4	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0.005	0.5	0	1	4	200	520003	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0p005.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0p005.log
5	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0.01	0.5	0	1	4	200	520004	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0p01.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0p01.log
6	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0.02	0.5	0	1	4	200	520005	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0p02.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0p02.log
7	fig4_fermi	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\build\sweep_stats_fig4_fermi_N1000_N100.exe	0.04	0.5	0	1	4	200	520006	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\raw\fig4_fermi_beta_10_p12_0p04.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_fig4_fermi_beta_10_full_2026-05-07\logs\fig4_fermi_beta_10_p12_0p04.log
